"grid_cell","round","date","prev","N"
333,7,2014-12-08,0.0666666666666667,15
333,10,2016-02-20,0,26
334,7,2014-12-27,0,20
334,9,2015-09-30,0,8
334,10,2016-02-12,0,9
335,7,2014-12-27,0,10
335,10,2016-02-13,0,23
336,7,2014-12-27,0,14
336,9,2015-10-04,0,28
336,10,2016-02-14,0,31
337,9,2015-10-05,0,23
337,10,2016-02-13,0,36
338,9,2015-10-05,0,15
339,10,2016-02-13,0,26
340,7,2014-12-14,0,31
340,8,2015-02-09,0,51
340,9,2015-09-12,0,25
340,10,2016-02-12,0,13
341,7,2014-12-15,0,14
341,8,2015-02-09,0,22
341,9,2015-09-11,0,7
341,10,2016-02-13,0,12
342,7,2014-12-22,0,26
342,8,2015-02-10,0,17
342,9,2015-09-11,0,12
342,10,2016-02-14,0,17
343,7,2014-12-12,0,19
343,8,2015-02-09,0,16
343,9,2015-09-10,0,12
343,10,2016-02-14,0,14
344,7,2014-12-22,0,4
344,8,2015-02-09,0,2
344,9,2015-09-10,0,9
344,10,2016-02-14,0,4
345,7,2014-12-16,0,18
345,8,2015-02-05,0.0333333333333333,30
345,9,2015-09-09,0,33
345,10,2016-02-13,0,32
346,7,2014-12-15,0,33
346,8,2015-02-05,0,17
346,9,2015-09-17,0,18
347,1,2012-06-28,0.25,27
347,2,2012-08-17,0.115384615384615,53
347,3,2012-11-13,0,21
347,4,2013-06-19,0.0909090909090909,22
347,5,2013-08-12,0.0555555555555556,18
347,6,2013-10-25,0,18
347,8,2015-02-21,0.153846153846154,14
348,1,2012-06-29,0.303030303030303,33
348,2,2012-08-17,0,16
348,3,2012-11-13,0,15
348,4,2013-06-19,0.0476190476190476,23
348,5,2013-08-12,0,18
348,6,2013-10-25,0,23
348,8,2015-02-21,0,15
349,10,2016-02-18,0,6
350,10,2016-02-18,0,11
351,10,2016-02-08,0,10
352,9,2015-09-25,0,3
353,9,2015-09-24,0,19
353,10,2016-02-19,0,10
354,9,2015-09-25,0,60
354,10,2016-02-19,0,51
355,7,2014-12-09,0,4
355,9,2015-09-24,0,6
355,10,2016-02-18,0,5
356,7,2014-12-28,0,33
356,9,2015-09-27,0,8
356,10,2016-02-20,0,19
357,7,2014-12-14,0,37
357,9,2015-09-20,0,26
357,10,2016-02-24,0,14
358,7,2014-12-14,0,13
358,9,2015-09-21,0,6
358,10,2016-02-20,0,8
359,7,2014-12-27,0,13
359,9,2015-10-05,0,16
359,10,2016-02-11,0,8
360,7,2014-12-26,0,17
