"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
4694,27.7749856160511,-16.5690953234174,NA,"80207_10",0.690944011027512
4695,27.7749856160511,-16.5241795592114,NA,"80207_2",2.1478488861625
4696,27.7749856160511,-16.5151964063702,NA,"80207_2",1.3454177407114
4697,27.7749856160511,-16.4972301006879,NA,"80207_2",1.48456625531939
4701,27.7844360624094,-16.9014719785416,"sinafala","80211_8",5.47716176789433
4702,27.7844360624094,-16.8924888257004,"sinafala","80211_1",4.62206703882971
4703,27.7844360624094,-16.8745225200181,"sinafala","80211_1",3.16530852284175
4704,27.7844360624094,-16.8655393671769,"sinafala","80211_1",2.71053777837286
4705,27.7844360624094,-16.8565562143357,"sinafala","80211_1",2.58357348303755
4706,27.7844360624094,-16.8475730614945,"sinafala","80211_1",2.82890238919244
4707,27.7844360624094,-16.8385899086533,"sinafala","80211_4",2.17904446015388
4708,27.7844360624094,-16.8296067558121,"sinafala","80211_4",1.3044658577206
4709,27.7844360624094,-16.8116404501297,"sinafala","80211_4",1.2682365595784
4710,27.7844360624094,-16.8026572972885,"sinafala","80211_4",2.1358418371953
4711,27.7844360624094,-16.7936741444473,"sinafala","80211_3",2.87745578821665
4712,27.7844360624094,-16.7667246859237,"chabbobboma","80202_10",0.712766100645346
4713,27.7844360624094,-16.7577415330825,"chabbobboma","80202_10",0.851442277543467
4714,27.7844360624094,-16.7307920745589,"chabbobboma","80209_6",3.58639699168237
4715,27.7844360624094,-16.7128257688765,"munyumbwe","80209_6",3.21152415594244
4716,27.7844360624094,-16.7038426160353,"munyumbwe","80209_6",3.4698284057048
4717,27.7844360624094,-16.6948594631941,"munyumbwe","80209_6",3.97058317618566
4718,27.7844360624094,-16.6679100046706,"munyumbwe","80209_8",2.20978102393082
4719,27.7844360624094,-16.6589268518294,"munyumbwe","80209_8",1.23761300986158
4720,27.7844360624094,-16.6499436989882,"munyumbwe","80209_8",0.424546520639647
4721,27.7844360624094,-16.640960546147,"munyumbwe","80209_8",0.910380981649941
4722,27.7844360624094,-16.6319773933058,"munyumbwe","80209_4",1.36436946950588
4723,27.7844360624094,-16.6229942404646,"munyumbwe","80209_4",1.36547394748284
4724,27.7844360624094,-16.5780784762586,NA,"80207_10",0.898816867480618
4725,27.7844360624094,-16.5690953234174,NA,"80207_10",0.376967098261525
4726,27.7844360624094,-16.5601121705762,NA,"80207_10",1.2150459346075
4727,27.7844360624094,-16.5421458648938,NA,"80207_10",3.18509049756349
4728,27.7844360624094,-16.4972301006879,NA,"80207_2",2.28825934736962
4729,27.7844360624094,-16.4433311836407,"moomba","80207_3",5.8924406179685
4734,27.7938865087676,-16.8924888257004,"sinafala","80211_1",5.25051331869342
4735,27.7938865087676,-16.8475730614945,"sinafala","80211_4",3.52673706863796
4736,27.7938865087676,-16.8385899086533,"sinafala","80211_4",2.71871222764804
4737,27.7938865087676,-16.8296067558121,"sinafala","80211_4",2.08444667674131
4738,27.7938865087676,-16.8206236029709,"sinafala","80211_4",1.81616069375752
4739,27.7938865087676,-16.8116404501297,"sinafala","80211_4",2.06202845006513
4740,27.7938865087676,-16.8026572972885,"chabbobboma","80211_4",2.68430306376993
4741,27.7938865087676,-16.7936741444473,"chabbobboma","80202_10",3.41644432904089
4742,27.7938865087676,-16.7757078387649,"chabbobboma","80202_10",1.45117581604854
4743,27.7938865087676,-16.7667246859237,"chabbobboma","80202_10",0.568173338643004
4744,27.7938865087676,-16.7577415330825,"chabbobboma","80202_10",0.73466361937335
4745,27.7938865087676,-16.7487583802413,"chabbobboma","80202_10",1.66031332035253
4746,27.7938865087676,-16.7307920745589,"chabbobboma","80202_10",3.63186724559596
4747,27.7938865087676,-16.6589268518294,"munyumbwe","80209_8",1.82388461368413
4748,27.7938865087676,-16.6499436989882,"munyumbwe","80209_8",1.40541561295368
4749,27.7938865087676,-16.640960546147,"munyumbwe","80209_8",1.61982436528554
4750,27.7938865087676,-16.6229942404646,"munyumbwe","80209_4",2.33263933900139
4751,27.7938865087676,-16.6140110876234,"munyumbwe","80209_4",2.72844071138328
4752,27.7938865087676,-16.5690953234174,NA,"80207_10",1.35656532532462
4753,27.7938865087676,-16.5601121705762,NA,"80207_10",1.78173542253121
4754,27.7938865087676,-16.551129017735,NA,"80207_1",2.02912130687903
4755,27.7938865087676,-16.4702806421643,"moomba","80207_3",4.20199725582364
4756,27.7938865087676,-16.4433311836407,"moomba","80207_3",5.02362648252592
